1.051	1.051	2.75	2.75	2.75	2.75	-3
2.15	2.15	2.56	2.56	2.56	2.56	-2.5
2.73	2.73	2.1	2.1	2.1	2.1	-2
2.63	2.63	1.685	1.685	1.685	1.685	-1.5
1.93	1.93	1.058	1.058	1.058	1.058	-1
0.64	0.64	0.346	0.346	0.346	0.346	-0.5
-0.761	-0.761	-0.332	-0.332	-0.332	-0.332	0
-2.06	-2.06	-1.006	-1.006	-1.006	-1.006	0.5
-2.73	-2.73	-1.569	-1.569	-1.569	-1.569	1
-2.673	-2.673	-2.049	-2.049	-2.049	-2.049	1.5
-2.22	-2.22	-2.432	-2.432	-2.432	-2.432	2
-0.907	-0.907	-2.752	-2.752	-2.752	-2.752	2.5
